name,common_name,type,type_fr,ra_h,dec_deg,size_w_arcmin,size_h_arcmin,mag,filter,messier
IC0520,,G,galaxie,8.8951,73.4909,2.10,1.63,11.83,sans,
NGC2685,Helix Galaxy,G,galaxie,8.9263,58.7344,4.33,2.31,11.35,sans,
NGC2698,,G,galaxie,8.9268,-3.1839,1.47,0.53,11.86,sans,
NGC2655,,G,galaxie,8.9271,78.2231,3.93,2.06,10.39,sans,
NGC2708,,G,galaxie,8.9356,-3.3601,2.93,1.06,11.96,sans,
NGC2693,,G,galaxie,8.9498,51.3474,2.00,1.37,11.86,sans,
NGC2713,,G,galaxie,8.9557,2.9213,3.37,1.15,11.82,sans,
NGC2749,,G,galaxie,9.0893,18.3131,1.92,1.77,11.84,sans,
IC2448,,PN,nebuleuse planetaire,9.1184,-69.9418,0.15,0.15,10.4,LP,
NGC2742,,G,galaxie,9.126,60.4793,2.86,1.49,11.49,sans,
NGC2715,,G,galaxie,9.1351,78.0852,4.20,1.41,11.49,sans,
NGC2775,,G,galaxie,9.1723,7.0379,4.25,3.36,10.24,sans,
NGC2781,,G,galaxie,9.191,-14.8168,2.52,1.26,11.57,sans,
NGC2768,,G,galaxie,9.1937,60.0372,5.64,2.24,9.87,sans,
NGC2808,,GCl,amas globulaire,9.2007,-64.8628,9.00,9.00,5.69,sans,
NGC2776,,G,galaxie,9.204,44.9548,2.14,0.91,11.68,sans,
NGC2784,,G,galaxie,9.2054,-24.1726,4.82,1.85,10.1,sans,
NGC2792,,PN,nebuleuse planetaire,9.2074,-42.4275,0.22,0.22,11.6,LP,
NGC2732,,G,galaxie,9.2235,79.1873,1.81,0.71,11.89,sans,
NGC2748,,G,galaxie,9.2286,76.4753,2.60,1.11,11.68,sans,
NGC2822,,G,galaxie,9.2305,-69.6448,3.96,2.72,11.4,sans,
NGC2818,,PN,nebuleuse planetaire,9.2671,-36.6269,0.83,0.83,11.6,LP,
NGC2811,,G,galaxie,9.2698,-16.3127,3.05,1.03,11.45,sans,
NGC2815,,G,galaxie,9.2722,-23.6333,3.51,1.41,11.86,sans,
NGC2835,,G,galaxie,9.298,-22.3547,6.43,3.72,10.64,sans,
NGC2845,,G,galaxie,9.3102,-38.0101,1.87,1.30,11.97,sans,
NGC2787,,G,galaxie,9.3218,69.2032,3.24,1.81,11.25,sans,
NGC2832,,G,galaxie,9.3297,33.7497,3.20,2.07,11.79,sans,
NGC2805,,G,galaxie,9.339,64.1028,3.39,2.76,11.56,sans,
NGC2867,,PN,nebuleuse planetaire,9.3569,-58.3117,0.23,0.23,9.7,LP,
NGC2855,,G,galaxie,9.3576,-11.9095,3.45,1.85,11.05,sans,
NGC2841,,G,galaxie,9.3674,50.9765,6.90,3.31,10.18,sans,
IC2469,,G,galaxie,9.3836,-32.4497,5.79,1.17,11.09,sans,
NGC2887,,G,galaxie,9.39,-63.8126,2.55,1.63,11.66,sans,
NGC2865,,G,galaxie,9.3917,-23.1614,2.44,2.03,11.48,sans,
NGC2859,,G,galaxie,9.4051,34.5135,3.19,2.78,10.94,sans,
NGC2872,,G,galaxie,9.4285,11.4321,1.75,1.55,11.86,sans,
NGC2899,,PN,nebuleuse planetaire,9.4508,-56.106,1.50,1.50,11.8,LP,
NGC2889,,G,galaxie,9.4535,-11.6434,1.95,1.75,11.78,sans,
IC2488,,OCl,amas ouvert,9.4606,-57.0069,7.20,7.20,7.4,sans,
NGC2880,,G,galaxie,9.4929,62.4906,2.33,1.40,11.61,sans,
NGC2910,,OCl,amas ouvert,9.5081,-52.914,4.80,4.80,7.2,sans,
NGC2907,,G,galaxie,9.5269,-16.7347,2.82,2.06,11.63,sans,
NGC2903,,G,galaxie,9.5361,21.5008,11.94,5.28,8.91,sans,
NGC2925,,OCl,amas ouvert,9.553,-53.396,7.50,7.50,8.3,sans,
NGC2935,,G,galaxie,9.6125,-21.1281,4.21,3.16,11.19,sans,
IC2501,,PN,nebuleuse planetaire,9.6464,-60.0919,0.03,0.03,10.4,LP,
NGC2972,,OCl,amas ouvert,9.6699,-50.3209,3.60,3.60,9.9,sans,
NGC2962,,G,galaxie,9.6816,5.1658,2.31,1.16,11.88,sans,
NGC2967,,G,galaxie,9.7009,0.3364,2.14,2.01,11.61,sans,
NGC2974,,G,galaxie,9.7092,-3.6991,3.48,2.13,10.89,sans,
NGC2950,,G,galaxie,9.7098,58.8513,2.62,1.65,11.03,sans,
NGC2964,,G,galaxie,9.7151,31.8474,2.92,2.18,11.37,sans,
NGC2968,,G,galaxie,9.72,31.9287,2.48,1.63,11.73,sans,
NGC2983,,G,galaxie,9.7281,-20.4772,2.37,1.16,11.87,sans,
NGC2986,,G,galaxie,9.7378,-21.278,4.81,3.85,10.64,sans,
NGC2997,,G,galaxie,9.7608,-31.1911,10.26,6.21,9.41,sans,
NGC3001,,G,galaxie,9.7719,-30.4375,3.02,2.26,11.57,sans,
NGC2976,,G,galaxie,9.7876,67.9164,5.77,3.01,10.16,sans,
NGC3033,,OCl,amas ouvert,9.8097,-56.4301,4.80,4.80,8.8,sans,
NGC3003,,G,galaxie,9.81,33.4215,4.74,1.06,11.78,sans,
NGC3059,,G,galaxie,9.8356,-73.9222,3.80,3.56,11.3,sans,
NGC2985,,G,galaxie,9.8395,72.2786,3.61,2.92,10.51,sans,
NGC3038,,G,galaxie,9.8543,-32.7526,2.80,1.69,11.69,sans,
NGC3041,,G,galaxie,9.8853,16.6777,3.22,2.07,11.55,sans,
NGC3044,,G,galaxie,9.8947,1.5796,4.20,0.70,11.94,sans,
NGC3054,,G,galaxie,9.9079,-25.7034,3.56,2.18,11.48,sans,
NGC3056,,G,galaxie,9.9091,-28.2982,2.26,1.39,11.7,sans,
IC2522,,G,galaxie,9.9192,-33.1371,2.30,1.74,12.0,sans,
M81,Bode's Galaxy,G,galaxie,9.9259,69.0653,21.63,11.25,6.92,sans,81
NGC3027,,G,galaxie,9.9279,72.2036,3.35,1.27,11.76,sans,
M82,Cigar Galaxy,G,galaxie,9.9313,69.6794,10.99,5.11,8.3,sans,82
NGC3078,,G,galaxie,9.9735,-26.9267,3.04,2.48,11.16,sans,
NGC3087,,G,galaxie,9.9857,-34.2252,2.28,2.02,11.43,sans,
NGC3095,,G,galaxie,10.0016,-31.5529,3.61,1.81,11.63,sans,
NGC3091,,G,galaxie,10.004,-19.637,3.69,2.18,11.0,sans,
IC2533,,G,galaxie,10.0088,-31.245,2.04,1.45,11.97,sans,
NGC3105,,OCl,amas ouvert,10.011,-54.7877,4.08,4.08,9.7,sans,
NGC3100,,G,galaxie,10.0113,-31.6645,3.56,2.48,11.37,sans,
NGC3079,,G,galaxie,10.0327,55.6798,8.18,1.29,10.71,sans,
NGC3098,,G,galaxie,10.038,24.7111,2.33,0.50,11.96,sans,
NGC3108,,G,galaxie,10.0414,-31.6774,2.54,2.22,11.47,sans,
NGC3114,,OCl,amas ouvert,10.0415,-60.1305,12.30,12.30,4.2,sans,
NGC3109,,G,galaxie,10.0519,-26.1596,16.00,2.74,10.54,sans,
NGC3077,,G,galaxie,10.0553,68.7339,5.21,4.32,9.88,sans,
NGC3115,Spindle Galaxy,G,galaxie,10.0872,-7.7186,7.10,3.01,9.09,sans,
NGC3136,,G,galaxie,10.0967,-67.378,4.20,2.94,10.67,sans,
NGC3132,Eight-Burst Nebula,PN,nebuleuse planetaire,10.1171,-40.4366,0.50,0.50,9.2,LP,
IC2554,,G,galaxie,10.1474,-67.0309,3.31,1.29,11.7,sans,
NGC3137,,G,galaxie,10.1521,-29.0643,5.57,3.85,11.57,sans,
IC2553,,PN,nebuleuse planetaire,10.1558,-62.6137,0.15,0.15,10.3,LP,
NGC3195,,PN,nebuleuse planetaire,10.1558,-80.8586,0.70,0.70,11.6,LP,
NGC3145,,G,galaxie,10.1694,-12.4338,2.87,1.37,12.0,sans,
NGC3136B,,G,galaxie,10.1703,-67.0051,1.75,1.35,11.79,sans,
NGC3162,,G,galaxie,10.2254,22.7376,2.09,1.69,11.72,sans,
NGC3166,,G,galaxie,10.2293,3.4247,4.50,2.84,10.62,sans,
NGC3158,,G,galaxie,10.2307,38.7649,2.32,1.94,11.88,sans,
NGC3169,,G,galaxie,10.2375,3.4661,4.34,2.65,10.89,sans,
NGC3175,,G,galaxie,10.245,-28.8721,5.25,1.95,11.26,sans,
NGC3147,,G,galaxie,10.2816,73.4008,4.11,3.55,11.94,sans,
NGC3201,,GCl,amas globulaire,10.2935,-46.4112,9.60,9.60,8.24,sans,
NGC3211,,PN,nebuleuse planetaire,10.2974,-62.6701,0.27,0.27,10.7,LP,
NGC3189,,G,galaxie,10.3016,21.8323,3.64,1.22,11.05,sans,
NGC3184,,G,galaxie,10.3047,41.4241,7.40,7.18,9.84,sans,
NGC3193,,G,galaxie,10.3069,21.894,2.36,2.16,11.02,sans,
NGC3198,,G,galaxie,10.3319,45.5496,6.46,1.84,10.38,sans,
NGC3228,,OCl,amas ouvert,10.3562,-51.7226,6.60,6.60,6.0,sans,
NGC3223,,G,galaxie,10.3597,-34.2668,4.28,2.79,10.96,sans,
NGC3227,,G,galaxie,10.3918,19.8651,3.98,1.86,11.72,sans,
NGC3247,,HII,region HII,10.4039,-57.7633,5.00,5.00,7.6,LP,
NGC3242,Jupiter's Ghost Nebula,PN,nebuleuse planetaire,10.4128,-18.6422,0.42,0.42,7.7,LP,
NGC3239,,G,galaxie,10.418,17.1636,3.61,2.71,11.4,sans,
NGC3255,,OCl,amas ouvert,10.442,-60.6752,4.80,4.80,11.0,sans,
NGC3250,,G,galaxie,10.4423,-39.9439,2.96,2.20,11.02,sans,
NGC3245,,G,galaxie,10.4551,28.5074,3.61,2.30,10.75,sans,
IC2581,,OCl,amas ouvert,10.4581,-57.6173,6.00,6.00,4.3,sans,
NGC3256,,G,galaxie,10.4642,-43.9037,3.29,2.26,11.58,sans,
IC2574,Coddington's Nebula,G,galaxie,10.4732,68.4121,12.91,5.57,10.46,sans,
NGC3258,,G,galaxie,10.4815,-35.6055,2.94,2.34,11.41,sans,
NGC3261,,G,galaxie,10.4837,-44.6568,3.65,2.84,11.41,sans,
NGC3254,,G,galaxie,10.4889,29.4918,2.34,1.12,11.66,sans,
NGC3268,,G,galaxie,10.5002,-35.3255,3.50,2.62,11.41,sans,
NGC3271,,G,galaxie,10.5074,-35.3595,3.01,1.67,11.73,sans,
NGC3275,,G,galaxie,10.5144,-36.737,2.81,2.05,11.65,sans,
NGC3283,,G,galaxie,10.5199,-46.2513,2.86,2.07,11.74,sans,
NGC3281,,G,galaxie,10.5311,-34.8537,3.10,1.27,11.95,sans,
NGC3277,,G,galaxie,10.5487,28.5117,2.11,1.59,11.65,sans,
NGC3285,,G,galaxie,10.56,-27.4544,2.97,1.52,11.98,sans,
NGC3366,,G,galaxie,10.5856,-43.6918,2.72,1.31,11.71,sans,
NGC3293,,OCl,amas ouvert,10.5969,-58.2245,5.10,5.10,4.7,sans,
NGC3294,,G,galaxie,10.6045,37.3247,3.08,1.60,11.68,sans,
NGC3309,,G,galaxie,10.6099,-27.5184,1.82,1.57,11.74,sans,
NGC3311,,G,galaxie,10.6119,-27.5283,2.63,2.33,11.32,sans,
NGC3301,,G,galaxie,10.6156,21.8821,3.63,1.06,11.41,sans,
NGC3318,,G,galaxie,10.621,-41.6276,2.52,1.36,11.5,sans,
NGC3324,,Cl+N,amas + nebuleuse,10.6212,-58.6196,4.80,4.80,6.7,LP,
NGC3313,,G,galaxie,10.6237,-25.3194,2.96,2.02,11.73,sans,
IC2597,,G,galaxie,10.6298,-27.0817,2.62,1.73,11.68,sans,
NGC3330,,OCl,amas ouvert,10.646,-54.1307,5.10,5.10,7.4,sans,
NGC3310,,G,galaxie,10.6461,53.5034,1.80,1.73,11.61,sans,
NGC3319,,G,galaxie,10.6526,41.6867,3.63,1.77,11.37,sans,
NGC3338,,G,galaxie,10.7021,13.747,1.23,0.71,10.88,sans,
NGC3347,,G,galaxie,10.7129,-36.3527,4.05,1.14,11.51,sans,
NGC3344,,G,galaxie,10.7253,24.9222,6.70,6.37,9.98,sans,
NGC3358,,G,galaxie,10.7258,-36.4107,3.62,1.82,11.61,sans,
M95,,G,galaxie,10.7327,11.7038,7.23,4.45,9.77,sans,95
NGC3372,Carina Nebula,HII,region HII,10.7524,-59.8667,120.00,120.00,3.0,LP,
NGC3367,,G,galaxie,10.7764,13.7509,2.88,2.83,11.73,sans,
NGC3359,,G,galaxie,10.7769,63.2242,4.07,2.83,10.55,sans,
M96,,G,galaxie,10.7794,11.8199,8.26,5.51,9.21,sans,96
NGC3348,,G,galaxie,10.7861,72.8397,2.13,2.13,10.92,sans,
NGC3377,,G,galaxie,10.7951,13.9859,3.87,1.87,10.27,sans,
M105,,G,galaxie,10.7971,12.5816,4.89,4.25,9.27,sans,105
NGC3450,,G,galaxie,10.801,-20.8492,2.61,2.29,11.83,sans,
NGC3384,,G,galaxie,10.8047,12.6293,5.24,2.37,9.96,sans,
NGC3402,,G,galaxie,10.8407,-12.8446,1.85,1.78,11.89,sans,
NGC3412,,G,galaxie,10.8481,13.4121,3.96,2.17,10.53,sans,
NGC3423,,G,galaxie,10.854,5.84,3.56,3.03,11.17,sans,
NGC3414,,G,galaxie,10.8545,27.9751,2.67,1.37,11.09,sans,
NGC3430,,G,galaxie,10.8698,32.9504,3.99,2.22,11.81,sans,
NGC3432,,G,galaxie,10.8753,36.6188,7.41,2.08,11.27,sans,
NGC3448,,G,galaxie,10.9109,54.3049,2.97,0.88,11.98,sans,
NGC3496,,OCl,amas ouvert,10.9927,-60.3369,6.00,6.00,8.2,sans,
NGC3489,,G,galaxie,11.0052,13.9012,3.44,2.03,10.23,sans,
IC2621,,PN,nebuleuse planetaire,11.0056,-65.2494,0.08,0.08,11.2,LP,
NGC3486,,G,galaxie,11.0066,28.9751,5.82,4.12,10.57,sans,
NGC3511,,G,galaxie,11.0566,-23.0868,6.04,2.00,11.02,sans,
NGC3513,,G,galaxie,11.0628,-23.2455,2.81,1.28,11.66,sans,
NGC3519,,OCl,amas ouvert,11.0674,-61.3683,4.8,4.8,7.7,sans,
NGC3532,Wishing Well Cluster,OCl,amas ouvert,11.0966,-58.7705,12.00,12.00,3.0,sans,
NGC3521,,G,galaxie,11.0968,-0.0359,8.32,4.47,9.11,sans,
IC2627,,G,galaxie,11.1648,-23.7259,2.40,1.70,12.0,sans,
NGC3557,,G,galaxie,11.166,-37.5392,4.36,3.43,10.42,sans,
NGC3572,,OCl,amas ouvert,11.172,-60.2484,4.08,4.08,6.6,sans,
M108,,G,galaxie,11.1919,55.6741,3.98,1.66,10.05,sans,108
NGC3590,,OCl,amas ouvert,11.2164,-60.789,5.10,5.10,8.2,sans,
NGC3585,,G,galaxie,11.2214,-26.7548,6.61,3.27,9.69,sans,
NGC3593,,G,galaxie,11.2436,12.8177,4.69,1.85,10.91,sans,
M97,Owl Nebula,PN,nebuleuse planetaire,11.2466,55.019,3.58,3.58,9.9,LP,97
NGC3596,,G,galaxie,11.2517,14.787,3.55,3.37,11.49,sans,
NGC3607,,G,galaxie,11.2818,18.0518,4.59,4.03,10.0,sans,
NGC3608,,G,galaxie,11.283,18.1487,3.18,2.67,10.63,sans,
IC2714,,OCl,amas ouvert,11.2909,-62.7251,7.20,7.20,8.2,sans,
NGC3621,,G,galaxie,11.3046,-32.8141,9.79,4.03,9.55,sans,
NGC3610,,G,galaxie,11.307,58.7863,2.39,2.37,10.77,sans,
NGC3613,,G,galaxie,11.31,58.0,3.55,1.78,10.81,sans,
M65,,G,galaxie,11.3155,13.0924,7.64,1.97,9.32,sans,65
NGC3626,,G,galaxie,11.3344,18.3568,2.94,1.94,10.98,sans,
M66,,G,galaxie,11.3375,12.9915,10.28,4.61,8.92,sans,66
NGC3628,,G,galaxie,11.338,13.5897,11.04,3.44,9.45,sans,
NGC3631,,G,galaxie,11.3508,53.1696,3.72,3.08,10.42,sans,
NGC3640,,G,galaxie,11.3519,3.2348,4.33,3.81,10.41,sans,
NGC3646,,G,galaxie,11.362,20.1696,3.09,1.48,11.2,sans,
NGC3655,,G,galaxie,11.3818,16.59,1.45,1.00,11.67,sans,
NGC3665,,G,galaxie,11.4121,38.7629,4.06,3.00,10.83,sans,
NGC3672,,G,galaxie,11.4174,-9.7954,2.90,1.69,11.34,sans,
NGC3673,,G,galaxie,11.4202,-26.7367,3.48,2.32,11.57,sans,
NGC3680,,OCl,amas ouvert,11.427,-43.2501,5.70,5.70,7.6,sans,
NGC3675,,G,galaxie,11.4357,43.5859,5.90,3.27,10.09,sans,
NGC3681,,G,galaxie,11.4416,16.8632,1.74,1.68,11.92,sans,
NGC3684,,G,galaxie,11.4531,17.0302,2.29,1.50,11.81,sans,
NGC3686,,G,galaxie,11.4622,17.2242,2.88,2.18,11.43,sans,
NGC3699,,PN,nebuleuse planetaire,11.4659,-59.9581,0.75,0.75,11.3,LP,
NGC3690B,,G,galaxie,11.476,58.5629,2.40,1.86,11.68,sans,
NGC3706,,G,galaxie,11.4957,-36.3913,3.10,2.10,11.3,sans,
NGC3705,,G,galaxie,11.5021,9.2766,4.31,1.74,10.97,sans,
NGC3717,,G,galaxie,11.5256,-30.3078,6.52,2.04,11.23,sans,
NGC3718,,G,galaxie,11.543,53.0679,4.70,2.34,10.7,sans,
NGC3726,,G,galaxie,11.5559,47.0292,5.27,3.54,10.49,sans,
NGC3729,,G,galaxie,11.5637,53.1256,2.89,2.09,11.56,sans,
IC2944,lam Cen Nebula,Cl+N,amas + nebuleuse,11.5964,-63.0198,7.20,7.20,4.5,LP,
NGC3738,,G,galaxie,11.5969,54.5239,2.26,1.63,11.45,sans,
NGC3766,Pearl Cluster,OCl,amas ouvert,11.604,-61.6052,6.90,6.90,5.3,sans,
NGC3756,,G,galaxie,11.6133,54.2936,1.91,0.97,11.52,sans,
NGC3810,,G,galaxie,11.683,11.4711,3.35,2.29,10.75,sans,
NGC3813,,G,galaxie,11.6885,36.5468,2.12,1.22,11.7,sans,
NGC3818,,G,galaxie,11.6993,-6.1557,2.44,1.55,11.75,sans,
NGC3842,,G,galaxie,11.7339,19.9498,2.14,1.49,11.84,sans,
NGC3872,,G,galaxie,11.7636,13.7667,2.39,1.77,11.71,sans,
NGC3882,,G,galaxie,11.7685,-56.3881,3.32,1.82,11.81,sans,
NGC3877,,G,galaxie,11.7688,47.4943,5.36,1.23,11.0,sans,
NGC3885,,G,galaxie,11.7796,-27.9222,2.74,1.11,11.87,sans,
NGC3887,,G,galaxie,11.7846,-16.8546,3.27,2.57,10.93,sans,
NGC3892,,G,galaxie,11.8003,-10.9621,3.08,2.70,11.24,sans,
NGC3893,,G,galaxie,11.8106,48.7108,2.69,1.43,10.63,sans,
NGC3894,,G,galaxie,11.814,59.4157,2.66,1.83,11.62,sans,
NGC3900,,G,galaxie,11.8193,27.022,2.55,1.25,11.44,sans,
NGC3904,,G,galaxie,11.8203,-29.2767,3.47,2.51,10.79,sans,
NGC3898,,G,galaxie,11.8209,56.0844,3.47,2.11,10.72,sans,
NGC3918,Blue Planetary,PN,nebuleuse planetaire,11.8383,-57.1823,0.32,0.32,8.1,LP,
NGC3960,,OCl,amas ouvert,11.8426,-55.6698,6.00,6.00,8.3,sans,
NGC3917,,G,galaxie,11.846,51.8247,4.61,1.03,11.81,sans,
NGC3923,,G,galaxie,11.8505,-28.806,6.89,4.55,9.6,sans,
NGC3938,,G,galaxie,11.8804,44.1207,3.55,3.44,10.36,sans,
NGC3941,,G,galaxie,11.882,36.9863,3.51,2.33,10.37,sans,
NGC3945,,G,galaxie,11.8871,60.6756,5.55,3.29,10.75,sans,
NGC3949,,G,galaxie,11.8949,47.8587,2.26,1.32,10.89,sans,
NGC3953,,G,galaxie,11.8969,52.3268,6.14,3.13,10.1,sans,
NGC3955,,G,galaxie,11.8992,-23.1642,4.15,1.21,11.84,sans,
NGC3962,,G,galaxie,11.9111,-13.975,4.17,3.00,10.65,sans,
NGC3981,,G,galaxie,11.9354,-19.8962,3.32,2.11,11.65,sans,
NGC3982,,G,galaxie,11.9411,55.1253,2.13,1.87,11.7,sans,
M109,,G,galaxie,11.96,53.3745,8.07,5.64,9.88,sans,109
NGC3998,,G,galaxie,11.9656,55.4536,2.78,2.26,11.33,sans,
NGC4024,,G,galaxie,11.9753,-18.3468,1.75,1.51,11.8,sans,
NGC4013,,G,galaxie,11.9754,43.9466,4.89,1.23,11.31,sans,
IC0750,,G,galaxie,11.9812,42.7225,2.11,1.02,11.82,sans,
NGC4026,,G,galaxie,11.9903,50.9617,4.41,0.87,10.78,sans,
NGC4027,,G,galaxie,11.9917,-19.2652,3.54,2.80,11.17,sans,
NGC4030,,G,galaxie,12.0066,-1.1001,3.78,2.65,10.51,sans,
NGC4033,,G,galaxie,12.0097,-17.8426,2.59,1.30,11.79,sans,
NGC4036,,G,galaxie,12.0241,61.8958,4.85,2.08,10.84,sans,
NGC4038,Antennae Galaxies,G,galaxie,12.0314,-18.8676,5.42,3.78,10.2,sans,
NGC4039,Antennae Galaxies,G,galaxie,12.0315,-18.8862,5.36,2.73,11.04,sans,
NGC4052,,OCl,amas ouvert,12.0348,-63.2235,5.10,5.10,8.8,sans,
NGC4041,,G,galaxie,12.0367,62.1372,2.57,2.39,11.08,sans,
NGC4045,,G,galaxie,12.0451,1.9768,2.55,1.58,11.81,sans,
NGC4050,,G,galaxie,12.0483,-16.3736,3.43,2.14,11.79,sans,
NGC4051,,G,galaxie,12.0527,44.5313,4.89,4.26,11.37,sans,
NGC4062,,G,galaxie,12.0677,31.8958,4.14,1.61,11.15,sans,
NGC4064,,G,galaxie,12.0698,18.4434,3.22,1.31,11.33,sans,
NGC4073,,G,galaxie,12.0742,1.896,2.09,1.70,11.51,sans,
NGC4088,,G,galaxie,12.0928,50.539,7.01,2.65,10.6,sans,
NGC4096,,G,galaxie,12.1003,47.4784,5.65,1.43,10.57,sans,
NGC4100,,G,galaxie,12.1023,49.5827,4.56,1.30,11.09,sans,
NGC4102,,G,galaxie,12.1064,52.7111,2.94,1.67,11.87,sans,
NGC4103,,OCl,amas ouvert,12.111,-61.2501,7.80,7.80,7.4,sans,
NGC4105,,G,galaxie,12.1113,-29.7602,4.33,3.41,10.62,sans,
NGC4106,,G,galaxie,12.1124,-29.7683,4.14,3.33,11.3,sans,
NGC4111,,G,galaxie,12.1175,43.0657,1.78,0.64,10.81,sans,
NGC4125,,G,galaxie,12.135,65.1741,5.87,4.58,9.71,sans,
NGC4119,,G,galaxie,12.136,10.3789,1.58,1.10,11.5,sans,
NGC4123,,G,galaxie,12.1364,2.8783,3.18,2.32,11.39,sans,
NGC4128,,G,galaxie,12.1423,68.7676,2.21,0.67,11.96,sans,
NGC4136,,G,galaxie,12.1549,29.9276,2.34,2.18,11.9,sans,
NGC4138,,G,galaxie,12.1583,43.6853,2.92,1.64,11.8,sans,
NGC4144,,G,galaxie,12.1663,46.4572,5.24,1.00,11.61,sans,
NGC4145,,G,galaxie,12.1671,39.8839,4.62,2.11,11.22,sans,
NGC4147,,GCl,amas globulaire,12.1684,18.5421,2.40,2.40,10.74,sans,
NGC4151,,G,galaxie,12.1757,39.4057,2.88,2.21,11.48,sans,
NGC4150,,G,galaxie,12.176,30.4015,1.99,1.33,11.69,sans,
NGC4157,,G,galaxie,12.1845,50.4847,6.22,1.14,11.29,sans,
NGC4162,,G,galaxie,12.1979,24.1237,2.28,1.37,11.7,sans,
NGC4168,,G,galaxie,12.2048,13.2052,2.92,2.28,11.45,sans,
NGC4178,,G,galaxie,12.2129,10.866,4.66,1.24,11.43,sans,
NGC4179,,G,galaxie,12.2145,1.2997,4.48,1.22,10.93,sans,
NGC4189,,G,galaxie,12.2298,13.4248,2.20,1.79,11.84,sans,
M98,,G,galaxie,12.2301,14.9003,11.04,2.66,10.84,sans,98
NGC4203,,G,galaxie,12.2514,33.1973,3.42,1.43,11.55,sans,
NGC4208,,G,galaxie,12.2609,13.9015,2.80,1.69,11.1,sans,
NGC4214,,G,galaxie,12.2609,36.3269,6.79,5.28,9.77,sans,
NGC4217,,G,galaxie,12.2641,47.0918,5.43,1.61,11.23,sans,
NGC4216,,G,galaxie,12.2651,13.1494,7.82,1.84,9.93,sans,
NGC4215,,G,galaxie,12.2652,6.4011,1.69,0.57,11.96,sans,
NGC4220,,G,galaxie,12.2699,47.8833,3.30,0.99,11.33,sans,
NGC4219,,G,galaxie,12.2743,-43.3243,3.75,1.23,11.83,sans,
NGC4224,,G,galaxie,12.2761,7.4621,2.90,1.17,11.77,sans,
NGC4236,,G,galaxie,12.2784,69.4626,23.50,6.85,9.77,sans,
NGC4233,,G,galaxie,12.2855,7.6244,2.34,0.98,11.94,sans,
NGC4230,,OCl,amas ouvert,12.2859,-55.2861,5.40,5.40,9.4,sans,
NGC4235,,G,galaxie,12.2861,7.1916,4.41,0.89,11.97,sans,
NGC4237,,G,galaxie,12.2865,15.324,1.82,1.18,11.83,sans,
NGC4223,,G,galaxie,12.2905,6.6901,2.02,1.25,11.95,sans,
NGC4244,,G,galaxie,12.2916,37.8071,16.22,7.24,10.18,sans,
NGC4242,,G,galaxie,12.2917,45.6193,3.80,2.67,11.03,sans,
NGC4245,,G,galaxie,12.2935,29.608,2.55,1.62,11.42,sans,
NGC4251,,G,galaxie,12.3023,28.1754,2.34,1.23,10.77,sans,
M99,Coma Pinwheel,G,galaxie,12.3138,14.4165,5.04,4.74,9.84,sans,99
M106,,G,galaxie,12.316,47.304,16.98,7.24,9.29,sans,106
NGC4260,,G,galaxie,12.3228,6.0987,2.51,1.15,11.55,sans,
NGC4261,,G,galaxie,12.3231,5.8252,4.25,3.35,11.11,sans,
NGC4262,,G,galaxie,12.3252,14.8777,1.74,1.52,11.46,sans,
NGC4267,,G,galaxie,12.3292,12.7983,2.55,1.76,10.89,sans,
NGC4274,,G,galaxie,12.3307,29.6145,3.63,1.70,10.42,sans,
NGC4273,,G,galaxie,12.3322,5.3433,2.19,1.95,11.8,sans,
NGC4278,,G,galaxie,12.3352,29.2807,2.89,2.83,10.21,sans,
NGC4291,,G,galaxie,12.3384,75.3708,1.93,1.62,11.42,sans,
NGC4281,,G,galaxie,12.3393,5.3864,2.85,1.43,11.31,sans,
NGC4293,,G,galaxie,12.3536,18.3824,6.24,3.72,10.17,sans,
NGC4298,,G,galaxie,12.3591,14.6062,2.54,1.40,11.35,sans,
NGC4302,,G,galaxie,12.3618,14.5983,6.00,1.13,11.54,sans,
M61,,G,galaxie,12.3652,4.4736,6.89,6.56,10.25,sans,61
NGC4304,,G,galaxie,12.3702,-33.4845,2.48,2.43,11.77,sans,
NGC4312,,G,galaxie,12.3754,15.5379,5.02,1.15,11.7,sans,
NGC4314,,G,galaxie,12.3755,29.8959,3.70,3.56,10.57,sans,
M100,,G,galaxie,12.3819,15.8218,6.10,5.62,9.47,sans,100
NGC4324,,G,galaxie,12.385,5.2503,2.96,1.21,11.5,sans,
NGC4339,,G,galaxie,12.393,6.0817,2.32,2.20,11.41,sans,
NGC4340,,G,galaxie,12.3931,16.7224,2.82,1.79,11.15,sans,
NGC4350,,G,galaxie,12.3994,16.6934,2.80,1.33,10.87,sans,
NGC4337,,OCl,amas ouvert,12.4009,-58.1238,6.60,6.60,8.9,sans,
NGC4349,,OCl,amas ouvert,12.4017,-61.8704,6.30,6.30,7.4,sans,
NGC4365,,G,galaxie,12.4079,7.3177,5.12,3.66,9.43,sans,
NGC4386,,G,galaxie,12.4079,75.5289,2.52,1.44,11.69,sans,
NGC4361,,PN,nebuleuse planetaire,12.4085,-18.7848,1.05,1.05,10.9,LP,
NGC4369,,G,galaxie,12.4101,39.383,1.98,1.89,11.69,sans,
NGC4371,,G,galaxie,12.4154,11.7042,3.88,1.81,10.83,sans,
M84,,G,galaxie,12.4177,12.887,7.41,6.44,9.79,sans,84
